Material,AlAs,GaAs,InAs,AlSb,GaSb,InSb,AlP,GaP,InP,GaN,AlN,InN,C,Si,Ge,Sn,3C-SiC,ZnSe,ZnTe,CdS,ZnS,CdSe,CdTe,Void
Dso,0.28,0.341,0.39,0.676,0.752,0.81,0.07,0.08,0.108,0.017,0.019,0.005,0.006,0.044,0.297,0,0.01,0.403,0.97,0.08,0.089,0.441,0.949,0
F,-0.48,-1.94,-2.9,-0.56,-1.63,-0.23,-0.65,-1.97,-1.31,-0.95,-1.01,-4.36,-1,-1,-1.54,-1,-1,-0.76,-0.007,-1.08,-1.78,-1.39,-1.55,0
gamma1,3.76,6.98,19.49,5.18,13.4,34.8,3.35,4.05,5.08,2.7,1.92,3.72,4.24,4.26,13.26,-15,2.817,3.77,3.74,4.11,2.54,5.51,5.2,0
gamma2,0.82,2.06,8.31,1.19,4.7,15.5,0.71,0.49,1.6,0.76,0.47,1.26,0.82,0.38,4.24,-11.5,0.508,1.24,1.07,0.77,0.75,1.24,1.89,0
gamma3,1.42,2.93,9.14,1.97,6,16.5,1.23,2.93,2.1,1.11,0.85,1.63,1.71,1.56,5.64,-8.6,0.86,1.67,1.64,1.53,1.09,2.14,2.46,0
Eg8c,4.7,4.66,4.577,3.77,3.69,3.7752,4.82,4.47,4.97,nan,nan,nan,nan,3.4,3.31,nan,nan,nan,nan,nan,nan,nan,nan,0
Eg7c,4.55,4.49,4.387,3.53,3.35,3.3852,4.78,4.38,4.78,nan,nan,nan,nan,3.4,3.12,nan,nan,nan,nan,nan,nan,nan,nan,0
Eg6v,-11.73,-12.5,-12.64,-10.62,-11.47,-10.54,-11.21,-12.14,-11.04,nan,nan,nan,nan,-12.5,-12.64,nan,nan,nan,nan,nan,nan,nan,nan,0
ac,-5.64,-7.17,-5.08,-4.5,-7.5,-6.94,-5.7,-8.2,-6,-6.71,-4.5,-2.65,nan,-5.1,-9.5,nan,nan,nan,nan,nan,nan,nan,nan,0
av,-2.47,-1.16,-1,-1.4,-0.8,-0.36,-3,-1.7,-0.6,-0.69,-4.9,-0.7,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0
bv,-2.3,-2,-1.8,-1.35,-2,-2,-1.5,-1.6,-2,-2,-1.7,-1.2,nan,2.33,2.08,nan,nan,nan,nan,nan,nan,nan,nan,0
dv,-3.4,-4.8,-3.6,-4.3,-4.7,-4.7,-4.6,-4.6,-5,-3.7,-5.5,-9.3,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,0
c11,1250,1221,832.9,876.9,884.2,684.7,1330,1405,1011,293,304,187,nan,1675,1315,nan,nan,nan,nan,nan,nan,nan,nan,0
c12,534,566,452.6,434.1,402.6,373.5,630,620.3,561,159,160,125,nan,650,494,nan,nan,nan,nan,nan,nan,nan,nan,0
c44,542,600,395.9,407.6,432.2,311.1,615,703.3,456,155,193,86,nan,796,0,nan,nan,nan,nan,nan,nan,nan,nan,0
me,0.15,0.067,0.023,0.14,0.042,0.014,0.22,0.79,0.079,0.193,0.316,0.054,nan,1.08,0.22,nan,nan,0.13,0.122,0.14,0.34,0.11,0.099,0
mhh,0.76,0.49,0.41,0.5,0.3,0.4,0.7,0.79,0.6,0.81,1.33,0.835,nan,0.81,0.34,nan,nan,nan,nan,nan,nan,nan,nan,0
mlh,0.16,0.08,0.026,0.11,0.05,0.02,nan,0.14,0.12,0.265,0.466,0.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0
